Metric,Value
total_samples,60000
test_duration_sec,59.999
num_peaks,38
breathing_rate,38.000633343889064
respiratory_rate,38.000633343889064
beam_displacement_range,0.2983115919618651
power_variation_coefficient,0
avg_tidal_volume,0.0038828111253888147
expected_TV,224.99208320138672
expected_VC,3549.9841664027736
expected_FVC,3449.9841664027736
expected_MV,8499.841664027734
lung_capacity,0.030365096561037586
vital_capacity,3.50242892892928
FVC,3449.9841664027736
LC_ptp,3.50242892892928
FEV1,2587.48812480208
FEV1_FVC_ratio,75.0
TV_mean,224.99208320138672
shannon_entropy,5.473706785877129
raw_FVC,2.7124150858992806
raw_FEV1,1.9619687928020564
raw_FEV1_FVC_ratio,72.33291110204766
avg_exh_vol,179.9936665611094
LC_avg,179.9936665611094
apen,0.00402834157180143
pca_explained_variance_ratio,"[0.8507496536827934, 0.11534385442283959, 0.011698563760521913]"
std,0.0027509838207792304
entropy,0.013197318923067537
pc3,1.9701502334308023e-16
classification_report,"{'0': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 4.0}, '1': {'precision': 1.0, 'recall': 0.75, 'f1-score': 0.8571428571428571, 'support': 4.0}, '2': {'precision': 0.8, 'recall': 1.0, 'f1-score': 0.888888888888889, 'support': 4.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.85, 'recall': 0.8333333333333334, 'f1-score': 0.832010582010582, 'support': 12.0}, 'weighted avg': {'precision': 0.85, 'recall': 0.8333333333333334, 'f1-score': 0.832010582010582, 'support': 12.0}}"
plot_files,"{'Signal Processing': {'Raw vs Filtered Signal': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_raw_filtered_signal.png', 'Custom Peak Detection': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_custom_peaks_detection.png', 'Frequency Domain Analysis': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_frequency_analysis.png'}, 'Breath Analysis': {'Clinical Paper Analysis': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_clinical_paper_analysis.png', 'Individual Breathing Cycles': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_breathing_cycles.png', 'Comprehensive Quality Metrics': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_breath_quality_metrics.png'}, 'Entropy Analysis': {'Rolling Shannon Entropy': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_rolling_shannon_entropy.png', 'Rolling Entropy': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_rolling_entropy.png', 'Highlighted High Entropy': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_high_entropy_segments_plot.png'}, 'PCA & Clustering': {'PCA Components Over Time': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_pca_components_over_time.png', 'PC1 vs PC2 Scatter': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_pc1_vs_pc2.png', 'K-Means on PCA': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_kmeans_pca.png', 'ML Feature Importance': 'Data_KP_0.2_20_S1_Static_T1_bf155d56_feature_importance.png'}}"
rolling_shannon_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_rolling_shannon_tecplot.dat
high_entropy_csv,Data_KP_0.2_20_S1_Static_T1_bf155d56_high_entropy_segments.csv
pca_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_pca_tecplot.dat
clusters_csv,Data_KP_0.2_20_S1_Static_T1_bf155d56_breathing_clusters.csv
features_csv,Data_KP_0.2_20_S1_Static_T1_bf155d56_breathing_features_example.csv
model_pkl,Data_KP_0.2_20_S1_Static_T1_bf155d56_trained_model.pkl
feature_importance_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_feature_importance_tecplot.dat
beam_trajectory_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_beam_trajectory_tecplot.dat
frequency_analysis_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_frequency_analysis_tecplot.dat
breathing_cycles_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_breathing_cycles_tecplot.dat
clinical_metrics_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_clinical_metrics_tecplot.dat
signal_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_signal_tecplot.dat
entropy_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_entropy_tecplot.dat
peak_detection_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_peak_detection_tecplot.dat
kmeans_tecplot,Data_KP_0.2_20_S1_Static_T1_bf155d56_kmeans_tecplot.dat
powerpoint,Data_KP_0.2_20_S1_Static_T1_bf155d56_clinical_analysis.pptx
