Metric,Value
total_samples,30000
test_duration_sec,29.999
num_peaks,15
breathing_rate,30.001000033334446
respiratory_rate,30.001000033334446
beam_displacement_range,1.0884810676113
power_variation_coefficient,1.246351468111429
avg_tidal_volume,0.13622464506992524
expected_TV,324.98749958331945
expected_VC,3749.974999166639
expected_FVC,3649.974999166639
expected_MV,9699.949998333277
lung_capacity,0.20570220414424867
vital_capacity,4.334673071911418
FVC,3649.974999166639
LC_ptp,4.334673071911418
FEV1,2737.481249374979
FEV1_FVC_ratio,75.0
TV_mean,324.98749958331945
shannon_entropy,5.510685868018299
raw_FVC,2.071857197087385
raw_FEV1,2.1641206764291088
raw_FEV1_FVC_ratio,104.45317753904216
avg_exh_vol,259.98999966665554
LC_avg,259.98999966665554
apen,0.00883774328886533
pca_explained_variance_ratio,"[0.7471454714148258, 0.10270366774276167, 0.07104340367878959]"
std,0.05302069682422693
entropy,0.008722735885023088
pc3,-8.454775341376192e-16
classification_report,"{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}}"
plot_files,"{'Signal Processing': {'Raw vs Filtered Signal': 'Data_breathingMT_Breath_T1_08f4c89a_raw_filtered_signal.png', 'Custom Peak Detection': 'Data_breathingMT_Breath_T1_08f4c89a_custom_peaks_detection.png', 'Frequency Domain Analysis': 'Data_breathingMT_Breath_T1_08f4c89a_frequency_analysis.png'}, 'Breath Analysis': {'Clinical Paper Analysis': 'Data_breathingMT_Breath_T1_08f4c89a_clinical_paper_analysis.png', 'Individual Breathing Cycles': 'Data_breathingMT_Breath_T1_08f4c89a_breathing_cycles.png', 'Comprehensive Quality Metrics': 'Data_breathingMT_Breath_T1_08f4c89a_breath_quality_metrics.png'}, 'Entropy Analysis': {'Rolling Shannon Entropy': 'Data_breathingMT_Breath_T1_08f4c89a_rolling_shannon_entropy.png', 'Rolling Entropy': 'Data_breathingMT_Breath_T1_08f4c89a_rolling_entropy.png', 'Highlighted High Entropy': 'Data_breathingMT_Breath_T1_08f4c89a_high_entropy_segments_plot.png'}, 'PCA & Clustering': {'PCA Components Over Time': 'Data_breathingMT_Breath_T1_08f4c89a_pca_components_over_time.png', 'PC1 vs PC2 Scatter': 'Data_breathingMT_Breath_T1_08f4c89a_pc1_vs_pc2.png', 'K-Means on PCA': 'Data_breathingMT_Breath_T1_08f4c89a_kmeans_pca.png', 'ML Feature Importance': 'Data_breathingMT_Breath_T1_08f4c89a_feature_importance.png'}}"
rolling_shannon_tecplot,Data_breathingMT_Breath_T1_08f4c89a_rolling_shannon_tecplot.dat
high_entropy_csv,Data_breathingMT_Breath_T1_08f4c89a_high_entropy_segments.csv
pca_tecplot,Data_breathingMT_Breath_T1_08f4c89a_pca_tecplot.dat
clusters_csv,Data_breathingMT_Breath_T1_08f4c89a_breathing_clusters.csv
features_csv,Data_breathingMT_Breath_T1_08f4c89a_breathing_features_example.csv
model_pkl,Data_breathingMT_Breath_T1_08f4c89a_trained_model.pkl
feature_importance_tecplot,Data_breathingMT_Breath_T1_08f4c89a_feature_importance_tecplot.dat
beam_trajectory_tecplot,Data_breathingMT_Breath_T1_08f4c89a_beam_trajectory_tecplot.dat
frequency_analysis_tecplot,Data_breathingMT_Breath_T1_08f4c89a_frequency_analysis_tecplot.dat
breathing_cycles_tecplot,Data_breathingMT_Breath_T1_08f4c89a_breathing_cycles_tecplot.dat
clinical_metrics_tecplot,Data_breathingMT_Breath_T1_08f4c89a_clinical_metrics_tecplot.dat
signal_tecplot,Data_breathingMT_Breath_T1_08f4c89a_signal_tecplot.dat
entropy_tecplot,Data_breathingMT_Breath_T1_08f4c89a_entropy_tecplot.dat
peak_detection_tecplot,Data_breathingMT_Breath_T1_08f4c89a_peak_detection_tecplot.dat
kmeans_tecplot,Data_breathingMT_Breath_T1_08f4c89a_kmeans_tecplot.dat
powerpoint,Data_breathingMT_Breath_T1_08f4c89a_clinical_analysis.pptx
