Metric,Value
total_samples,59993
test_duration_sec,59.992
num_peaks,55
breathing_rate,55.00733431124151
respiratory_rate,55.00733431124151
beam_displacement_range,0.9087618105557693
power_variation_coefficient,0.5895748286636046
avg_tidal_volume,0.015336015079085472
expected_TV,200.0
expected_VC,3500.0
expected_FVC,3400.0
expected_MV,8000.0
lung_capacity,0.03187366310602835
vital_capacity,2.5503951979654134
FVC,3400.0
LC_ptp,2.5503951979654134
FEV1,2550.0
FEV1_FVC_ratio,75.0
TV_mean,200.0
shannon_entropy,5.010135310970977
raw_FVC,0.9503927000082475
raw_FEV1,0.9372996424992232
raw_FEV1_FVC_ratio,98.62235289592284
avg_exh_vol,160.0
LC_avg,160.0
apen,0.02419027846647026
pca_explained_variance_ratio,"[0.13070335701076455, 0.11803166892974878, 0.09772028054281229]"
std,0.004564343349622475
entropy,0.02513868476122481
pc3,2.1887479202801914e-16
classification_report,"{'0': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, '2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3.0}, 'accuracy': 0.9090909090909091, 'macro avg': {'precision': 0.9444444444444445, 'recall': 0.8888888888888888, 'f1-score': 0.903030303030303, 'support': 11.0}, 'weighted avg': {'precision': 0.9242424242424243, 'recall': 0.9090909090909091, 'f1-score': 0.9041322314049587, 'support': 11.0}}"
plot_files,"{'Signal Processing': {'Raw vs Filtered Signal': 'Tr1_Derek_6e57518a_raw_filtered_signal.png', 'Custom Peak Detection': 'Tr1_Derek_6e57518a_custom_peaks_detection.png', 'Frequency Domain Analysis': 'Tr1_Derek_6e57518a_frequency_analysis.png'}, 'Breath Analysis': {'Clinical Paper Analysis': 'Tr1_Derek_6e57518a_clinical_paper_analysis.png', 'Individual Breathing Cycles': 'Tr1_Derek_6e57518a_breathing_cycles.png', 'Comprehensive Quality Metrics': 'Tr1_Derek_6e57518a_breath_quality_metrics.png'}, 'Entropy Analysis': {'Rolling Shannon Entropy': 'Tr1_Derek_6e57518a_rolling_shannon_entropy.png', 'Rolling Entropy': 'Tr1_Derek_6e57518a_rolling_entropy.png', 'Highlighted High Entropy': 'Tr1_Derek_6e57518a_high_entropy_segments_plot.png'}, 'PCA & Clustering': {'PCA Components Over Time': 'Tr1_Derek_6e57518a_pca_components_over_time.png', 'PC1 vs PC2 Scatter': 'Tr1_Derek_6e57518a_pc1_vs_pc2.png', 'K-Means on PCA': 'Tr1_Derek_6e57518a_kmeans_pca.png', 'ML Feature Importance': 'Tr1_Derek_6e57518a_feature_importance.png'}}"
rolling_shannon_tecplot,Tr1_Derek_6e57518a_rolling_shannon_tecplot.dat
high_entropy_csv,Tr1_Derek_6e57518a_high_entropy_segments.csv
pca_tecplot,Tr1_Derek_6e57518a_pca_tecplot.dat
clusters_csv,Tr1_Derek_6e57518a_breathing_clusters.csv
features_csv,Tr1_Derek_6e57518a_breathing_features_example.csv
model_pkl,Tr1_Derek_6e57518a_trained_model.pkl
feature_importance_tecplot,Tr1_Derek_6e57518a_feature_importance_tecplot.dat
beam_trajectory_tecplot,Tr1_Derek_6e57518a_beam_trajectory_tecplot.dat
frequency_analysis_tecplot,Tr1_Derek_6e57518a_frequency_analysis_tecplot.dat
breathing_cycles_tecplot,Tr1_Derek_6e57518a_breathing_cycles_tecplot.dat
clinical_metrics_tecplot,Tr1_Derek_6e57518a_clinical_metrics_tecplot.dat
signal_tecplot,Tr1_Derek_6e57518a_signal_tecplot.dat
entropy_tecplot,Tr1_Derek_6e57518a_entropy_tecplot.dat
peak_detection_tecplot,Tr1_Derek_6e57518a_peak_detection_tecplot.dat
kmeans_tecplot,Tr1_Derek_6e57518a_kmeans_tecplot.dat
powerpoint,Tr1_Derek_6e57518a_clinical_analysis.pptx
