Metric,Value
total_samples,59993
test_duration_sec,59.992
num_peaks,55
breathing_rate,55.00733431124151
respiratory_rate,55.00733431124151
beam_displacement_range,0.9087618105557693
power_variation_coefficient,0.5895748286636046
avg_tidal_volume,0.01533601507904334
expected_TV,200.0
expected_VC,3500.0
expected_FVC,3400.0
expected_MV,8000.0
lung_capacity,0.03187366310595463
vital_capacity,2.550395197958554
FVC,3400.0
LC_ptp,2.550395197958554
FEV1,2550.0
FEV1_FVC_ratio,75.0
TV_mean,200.0
shannon_entropy,5.010135310970974
raw_FVC,0.950392700005688
raw_FEV1,0.937299642496699
raw_FEV1_FVC_ratio,98.62235289592284
avg_exh_vol,160.0
LC_avg,160.0
apen,0.02419027846647026
pca_explained_variance_ratio,"[0.13070335700920946, 0.11803166899193548, 0.0977202808169181]"
std,0.004564343349606603
entropy,0.02513868476122481
pc3,2.2350334966619363e-16
classification_report,"{'0': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, '2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3.0}, 'accuracy': 0.9090909090909091, 'macro avg': {'precision': 0.9444444444444445, 'recall': 0.8888888888888888, 'f1-score': 0.903030303030303, 'support': 11.0}, 'weighted avg': {'precision': 0.9242424242424243, 'recall': 0.9090909090909091, 'f1-score': 0.9041322314049587, 'support': 11.0}}"
plot_files,"{'Signal Processing': {'Raw vs Filtered Signal': 'Tr1_Derek_9c3d88e5_raw_filtered_signal.png', 'Custom Peak Detection': 'Tr1_Derek_9c3d88e5_custom_peaks_detection.png', 'Frequency Domain Analysis': 'Tr1_Derek_9c3d88e5_frequency_analysis.png'}, 'Breath Analysis': {'Clinical Paper Analysis': 'Tr1_Derek_9c3d88e5_clinical_paper_analysis.png', 'Individual Breathing Cycles': 'Tr1_Derek_9c3d88e5_breathing_cycles.png', 'Comprehensive Quality Metrics': 'Tr1_Derek_9c3d88e5_breath_quality_metrics.png'}, 'Entropy Analysis': {'Rolling Shannon Entropy': 'Tr1_Derek_9c3d88e5_rolling_shannon_entropy.png', 'Rolling Entropy': 'Tr1_Derek_9c3d88e5_rolling_entropy.png', 'Highlighted High Entropy': 'Tr1_Derek_9c3d88e5_high_entropy_segments_plot.png'}, 'PCA & Clustering': {'PCA Components Over Time': 'Tr1_Derek_9c3d88e5_pca_components_over_time.png', 'PC1 vs PC2 Scatter': 'Tr1_Derek_9c3d88e5_pc1_vs_pc2.png', 'K-Means on PCA': 'Tr1_Derek_9c3d88e5_kmeans_pca.png', 'ML Feature Importance': 'Tr1_Derek_9c3d88e5_feature_importance.png'}}"
rolling_shannon_tecplot,Tr1_Derek_9c3d88e5_rolling_shannon_tecplot.dat
high_entropy_csv,Tr1_Derek_9c3d88e5_high_entropy_segments.csv
pca_tecplot,Tr1_Derek_9c3d88e5_pca_tecplot.dat
pca_csv,Tr1_Derek_9c3d88e5_pca_analysis.csv
clusters_csv,Tr1_Derek_9c3d88e5_breathing_clusters.csv
kmeans_csv,Tr1_Derek_9c3d88e5_breathing_clusters.csv
features_csv,Tr1_Derek_9c3d88e5_breathing_features_example.csv
model_pkl,Tr1_Derek_9c3d88e5_trained_model.pkl
feature_importance_tecplot,Tr1_Derek_9c3d88e5_feature_importance_tecplot.dat
feature_importance_csv,Tr1_Derek_9c3d88e5_feature_importance.csv
beam_trajectory_tecplot,Tr1_Derek_9c3d88e5_beam_trajectory_tecplot.dat
frequency_analysis_tecplot,Tr1_Derek_9c3d88e5_frequency_analysis_tecplot.dat
breathing_cycles_tecplot,Tr1_Derek_9c3d88e5_breathing_cycles_tecplot.dat
clinical_metrics_tecplot,Tr1_Derek_9c3d88e5_clinical_metrics_tecplot.dat
signal_tecplot,Tr1_Derek_9c3d88e5_signal_tecplot.dat
entropy_tecplot,Tr1_Derek_9c3d88e5_entropy_tecplot.dat
peak_detection_tecplot,Tr1_Derek_9c3d88e5_peak_detection_tecplot.dat
kmeans_tecplot,Tr1_Derek_9c3d88e5_kmeans_tecplot.dat
powerpoint,Tr1_Derek_9c3d88e5_clinical_analysis.pptx
